,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,3.1366483583,NY.ADJ.NNTY.KD.ZG,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
1,2017,2.1547434121,NY.ADJ.NNTY.KD.ZG,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
2,2018,3.7080088212,NY.ADJ.NNTY.KD.ZG,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
3,2019,0.5220323154000001,NY.ADJ.NNTY.KD.ZG,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
4,2016,6.3922860426,NY.ADJ.NNTY.KD.ZG,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
5,2017,4.8939832844,NY.ADJ.NNTY.KD.ZG,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
6,2018,1.6853400747,NY.ADJ.NNTY.KD.ZG,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
7,2019,3.4920372977,NY.ADJ.NNTY.KD.ZG,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
8,2020,-8.547638144,NY.ADJ.NNTY.KD.ZG,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2016,61.2060000723,NY.ADJ.NNTY.KD.ZG,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
10,2017,-12.1338517204,NY.ADJ.NNTY.KD.ZG,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
11,2018,-31.4752049729,NY.ADJ.NNTY.KD.ZG,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
12,2019,5.7976513526,NY.ADJ.NNTY.KD.ZG,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
13,2020,-23.9432344785,NY.ADJ.NNTY.KD.ZG,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
14,2016,-2.0944685134,NY.ADJ.NNTY.KD.ZG,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
15,2017,5.6986938413,NY.ADJ.NNTY.KD.ZG,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
16,2018,-5.6044098599000005,NY.ADJ.NNTY.KD.ZG,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
17,2019,-5.0391138604,NY.ADJ.NNTY.KD.ZG,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
18,2020,-5.9552981836,NY.ADJ.NNTY.KD.ZG,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
19,2016,-1.4638815727,NY.ADJ.NNTY.KD.ZG,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
20,2017,10.3533206476,NY.ADJ.NNTY.KD.ZG,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
21,2018,4.1432427396,NY.ADJ.NNTY.KD.ZG,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
22,2019,5.6063469343,NY.ADJ.NNTY.KD.ZG,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
23,2020,-9.5680741411,NY.ADJ.NNTY.KD.ZG,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
24,2016,3.8853696633,NY.ADJ.NNTY.KD.ZG,AUT,Austria,Europe & Central Asia,High income,Not classified
25,2017,-0.0355342709,NY.ADJ.NNTY.KD.ZG,AUT,Austria,Europe & Central Asia,High income,Not classified
26,2018,2.2827081292,NY.ADJ.NNTY.KD.ZG,AUT,Austria,Europe & Central Asia,High income,Not classified
27,2019,1.6508881285,NY.ADJ.NNTY.KD.ZG,AUT,Austria,Europe & Central Asia,High income,Not classified
28,2020,-8.0251300938,NY.ADJ.NNTY.KD.ZG,AUT,Austria,Europe & Central Asia,High income,Not classified
29,2016,0.8435298041,NY.ADJ.NNTY.KD.ZG,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
30,2017,4.2636632265,NY.ADJ.NNTY.KD.ZG,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
31,2018,0.561513331,NY.ADJ.NNTY.KD.ZG,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
